                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            log_star_age                               luminosity                                star_mass                                   radius                               surface_h1                              surface_he4                            total_mass_h1                           total_mass_he4                       mass_semiconv_core                             he_core_mass                           he_core_radius                              c_core_mass                           center_entropy                        luminosity_ergs_s                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time_Step_dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                  xa(8,1)                      Temperature_of_base                         Pressure_of_Base                            photosphere_r                             tau10_radius                            tau100_radius                                 tau_base                                 r_10_bar                                r_100_bar                               r_1000_bar                            homopause_rad                                      f_r                             scale_height                                   R_kbar                                R_transit                                   Region                                      q_c                                    q_net                                escape_el                               right_side                            envelope_mass 
                 6.8226321912519481E+000                  5.9135786080978049E-008                  1.7316961592600039E-005                  2.6593787633735922E-002                  7.4000000000000066E-001                  2.3998000081629320E-001                  2.5629103157048025E-007                  8.3114489142557166E-008                  1.7297045136494545E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1203156242327053E+000                  2.2718786296590146E+026                  1.8508744317327533E+009                  2.0962293538435300E+014                  3.4446899999999994E+028                  5.0981411999999907E+026                  1.6533134180237505E+026                  2.0421268631824230E+013                  0.0000000000000000E+000                  1.4723964382073152E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7825099698905551E+003                  6.7268996710835884E+010                  1.8508744317327528E+009                  0.0000000000000000E+000                  1.8205306099821348E+009                  6.6666666666666663E-001                  1.7812608513946173E+009                  1.6267656162912662E+009                  1.4792662270003929E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8864595071002170E+007                  1.4804092057631516E+009                  2.6009038944073830E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8893799999999820E+026 
                 6.8706156914372691E+000                  5.8921158614396261E-008                  1.7316947277910509E-005                  2.6538664745915059E-002                  7.3999652769010904E-001                  2.3998181814123004E-001                  2.5627923613293721E-007                  8.3111683298651944E-008                  1.7296702131523860E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1083254890090064E+000                  2.2636330716478753E+026                  1.8470379889861968E+009                  2.3411125784557662E+014                  3.4446871525219585E+028                  5.0979304866249304E+026                  1.6532450842454797E+026                  2.4505522358189074E+013                 -1.1619740235269496E+009                  1.4725855964439606E+003                  7.3999826385226986E-001                  2.0000010335457393E-005                  2.3998090947498540E-001                  4.1191736084691200E-003                  1.2069857133950991E-003                  1.1204352353889249E-002                  2.5129966207401884E-003                  9.5731836591558188E-004                  9.5731836591558188E-004                  4.7580748342770576E+003                  6.7390702022422295E+010                  1.8470379889861963E+009                  0.0000000000000000E+000                  1.8176495280763023E+009                  6.6666666666666663E-001                  1.7783734708438182E+009                  1.6238970296373146E+009                  1.4782598098931425E+009                  3.0184367908007450E+009                  4.9388039955858048E-006                  7.8548259635531276E+007                  1.4796878363960938E+009                  2.5956498011464400E+009                  1.0000000000000000E+000                  4.9738797923558195E+013                  1.0071020831766890E+019                  1.1619740235269496E+009                  1.2757637647990105E+008                  6.8893799999999820E+026 
                 6.9219694715322593E+000                  5.8676235546475840E-008                  1.7316930125660938E-005                  2.6474998216325672E-002                  7.3999297513370055E-001                  2.3998419838497614E-001                  2.5626531324598366E-007                  8.3108391369588871E-008                  1.7296282857471666E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0944046048688900E+000                  2.2542236172245085E+026                  1.8426069258598349E+009                  2.6349724479904488E+014                  3.4446837405964738E+028                  5.0976583022859865E+026                  1.6531770922111215E+026                  2.9406626829826887E+013                 -1.1602573475812604E+009                  1.4728206135043863E+003                  7.3999505758284279E-001                  2.0001017467179874E-005                  2.3998310756445101E-001                  4.1193810358825019E-003                  1.2070464930437172E-003                  1.1204916566531950E-002                  2.5131231666055539E-003                  9.5736657317541096E-004                  9.5736657317541096E-004                  4.7298032560620059E+003                  6.7531077937296333E+010                  1.8426069258598342E+009                  0.0000000000000000E+000                  1.8133511379590235E+009                  6.6666666666666663E-001                  1.7749059954505742E+009                  1.6206188801561217E+009                  1.4754004863608766E+009                  3.0148117430999994E+009                  5.6810094498026825E-006                  7.8184385712475002E+007                  1.4762956947184839E+009                  2.5869085370981827E+009                  1.0000000000000000E+000                  4.9768630508919414E+013                  8.7605259150991237E+018                  1.1602573475812604E+009                  1.2757611777586138E+008                  6.8890847895472530E+026 
                 6.9765164676577793E+000                  5.8394029081394942E-008                  1.7316909578080737E-005                  2.6402554874963610E-002                  7.3998871368335428E-001                  2.3998705550730892E-001                  2.5624863249045012E-007                  8.3104449662468427E-008                  1.7295778974062236E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0783420337227652E+000                  2.2433818092490307E+026                  1.8375650141877179E+009                  2.9876042914320694E+014                  3.4446796532718198E+028                  5.0973322067634549E+026                  1.6530956711018935E+026                  3.5287952195792266E+013                 -1.1582776555353446E+009                  1.4730632549247287E+003                  7.3999121131859069E-001                  2.0002224101428887E-005                  2.3998574593856928E-001                  4.1196295525517557E-003                  1.2071193125210789E-003                  1.1205592543947035E-002                  2.5132747799167174E-003                  9.5742432980194011E-004                  9.5742432980194011E-004                  4.6972773512349304E+003                  6.7691935292580696E+010                  1.8375650141877174E+009                  0.0000000000000000E+000                  1.8084792290466678E+009                  6.6666666666666663E-001                  1.7698883933629804E+009                  1.6169245752996905E+009                  1.4721479344723141E+009                  3.0106251514336720E+009                  6.6010395691166041E-006                  7.7769991775772750E+007                  1.4724555200021567E+009                  2.5769793165209990E+009                  1.0000000000000000E+000                  4.9803148756517719E+013                  7.5447432537027973E+018                  1.1582776555353448E+009                  1.2757580730278155E+008                  6.8887415043927668E+026 
                 7.0340448729576872E+000                  5.8073788341292887E-008                  1.7316884968864725E-005                  2.6320838928861050E-002                  7.3998360209812197E-001                  2.3999048519202176E-001                  2.5622865199182787E-007                  8.3099731343756635E-008                  1.7295182689217147E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0599151175749126E+000                  2.2310788004957899E+026                  1.8318777477708719E+009                  3.4107625035620131E+014                  3.4446747580065710E+028                  5.0969416091021725E+026                  1.6529981965931350E+026                  4.2345542634950719E+013                 -1.1560284610436883E+009                  1.4733212011922060E+003                  7.3998659749942053E-001                  2.0003669448283895E-005                  2.3998891290654392E-001                  4.1199272341289330E-003                  1.2072065381262477E-003                  1.1206402252300454E-002                  2.5134563874109886E-003                  9.5749351262065894E-004                  9.5749351262065894E-004                  4.6600948970478521E+003                  6.7874966998304443E+010                  1.8318777477708714E+009                  0.0000000000000000E+000                  1.8029826562772846E+009                  6.6666666666666663E-001                  1.7655462645741000E+009                  1.6128058504666302E+009                  1.4699367238325427E+009                  3.0058606336418858E+009                  7.7440732244968674E-006                  7.7302961216198772E+007                  1.4710776045097108E+009                  2.5688960530604315E+009                  1.0000000000000000E+000                  4.9842515305875672E+013                  6.4362143617403535E+018                  1.1560284610436883E+009                  1.2757543505871014E+008                  6.8883302607784490E+026 
                 7.0943190470752437E+000                  5.7713665401050915E-008                  1.7316855502495171E-005                  2.6229489436751019E-002                  7.3997747104521761E-001                  2.3999460236876030E-001                  2.5620472458101512E-007                  8.3094085202073904E-008                  1.7294479851925024E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0389181016997977E+000                  2.2172435973775740E+026                  1.8255200058189976E+009                  3.9185523581179456E+014                  3.4446688965563393E+028                  5.0964738608279679E+026                  1.6528815389810105E+026                  5.0814651161940859E+013                 -1.1534961075085297E+009                  1.4735911636830747E+003                  7.3998106317507473E-001                  2.0005400347424255E-005                  2.3999271453020149E-001                  4.1202837276476025E-003                  1.2073109965989538E-003                  1.1207371931992232E-002                  2.5136738744831267E-003                  9.5757636365467465E-004                  9.5757636365467465E-004                  4.6178936355469259E+003                  6.8081616397312172E+010                  1.8255200058189974E+009                  0.0000000000000000E+000                  1.7968366923325341E+009                  6.6666666666666663E-001                  1.7592181688376091E+009                  1.6082685952948978E+009                  1.4658200917879186E+009                  3.0004861030804644E+009                  9.1674130775981963E-006                  7.6781471972103432E+007                  1.4662478279177432E+009                  2.5564078437262406E+009                  1.0000000000000000E+000                  4.9887028445278500E+013                  5.4417781791882107E+018                  1.1534961075085294E+009                  1.2757498880552548E+008                  6.8878377208105987E+026 
                 7.1547814142795518E+000                  5.7312527189980778E-008                  1.7316821619167404E-005                  2.6131809156532820E-002                  7.3997045695440666E-001                  2.3999936644699132E-001                  2.5617722340255155E-007                  8.3087602709959466E-008                  1.7293654816164245E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0160645304642761E+000                  2.2018326695846815E+026                  1.8187216536763723E+009                  4.5038925528287594E+014                  3.4446621564847799E+028                  5.0959343164981786E+026                  1.6527486016182894E+026                  5.8575132091411789E+013                 -1.1506711669222345E+009                  1.4737706850847442E+003                  7.3997459466513760E-001                  2.0007392428271007E-005                  2.3999718888590149E-001                  4.1206940137780727E-003                  1.2074312171929241E-003                  1.1208487930201738E-002                  2.5139241789755825E-003                  9.5767171638444796E-004                  9.5767171638444796E-004                  4.5721469019981259E+003                  6.8304370486919273E+010                  1.8187216536763713E+009                  0.0000000000000000E+000                  1.7902651561392314E+009                  6.6666666666666663E-001                  1.7537857566690443E+009                  1.6035086931434128E+009                  1.4628794690392973E+009                  2.9944778384357204E+009                  1.0943644070364875E-005                  7.6220022697063476E+007                  1.4640449835877068E+009                  2.5461188239892664E+009                  1.0000000000000000E+000                  4.9936923775737117E+013                  4.5630983111891497E+018                  1.1506711669222345E+009                  1.2757445389323191E+008                  6.8872479595509791E+026 
                 7.2131800701745306E+000                  5.6885252284034986E-008                  1.7316784193378296E-005                  2.6031896912727833E-002                  7.3996275013715007E-001                  2.4000466320799141E-001                  2.5614686161326283E-007                  8.3080454083471079E-008                  1.7292716584857543E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9922435050095908E+000                  2.1854176222480559E+026                  1.8117679613320317E+009                  5.1521283910964775E+014                  3.4446547117468102E+028                  5.0953364272596508E+026                  1.6526031593233285E+026                  6.4869114057130289E+013                 -1.1476552558663762E+009                  1.4738363958814462E+003                  7.3996732890114780E-001                  2.0009594787502783E-005                  2.4000224999840802E-001                  4.1211476085448633E-003                  1.2075641279306656E-003                  1.1209721730006277E-002                  2.5142009048979329E-003                  9.5777713427701739E-004                  9.5777713427701739E-004                  4.5246496928532833E+003                  6.8534195204399658E+010                  1.8117679613320317E+009                  0.0000000000000000E+000                  1.7835437612125092E+009                  6.6666666666666663E-001                  1.7468668812148647E+009                  1.5987483852089624E+009                  1.4583895071356423E+009                  2.9880485113805833E+009                  1.3075781930869111E-005                  7.5641731312172264E+007                  1.4588217010546870E+009                  2.5324153541955442E+009                  1.0000000000000000E+000                  4.9990472348773930E+013                  3.8231344490960932E+018                  1.1476552558663762E+009                  1.2757383802603942E+008                  6.8865706386327300E+026 
                 7.2688599630446573E+000                  5.6449945796709289E-008                  1.7316743613658955E-005                  2.5931988792947221E-002                  7.3995440472148877E-001                  2.4001043378592676E-001                  2.5611394560230300E-007                  8.3072712083685366E-008                  1.7291704294313869E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9678977074334139E+000                  2.1686940176179774E+026                  1.8048145560115414E+009                  5.8568832905877038E+014                  3.4446466396290392E+028                  5.0946870977510559E+026                  1.6524462366180431E+026                  7.0524989916612641E+013                 -1.1445755299931197E+009                  1.4738396383430777E+003                  7.3995937880614826E-001                  2.0011984087108638E-005                  2.4000780830697946E-001                  4.1216397052845173E-003                  1.2077083203806155E-003                  1.1211060257047706E-002                  2.5145011198345621E-003                  9.5789150023763365E-004                  9.5789150023763365E-004                  4.4763256249904280E+003                  6.8766390901995773E+010                  1.8048145560115407E+009                  0.0000000000000000E+000                  1.7768215567092576E+009                  6.6666666666666663E-001                  1.7412336392503772E+009                  1.5925309398824878E+009                  1.4553490812903957E+009                  2.9814672328885908E+009                  1.5533688909904731E-005                  7.5062441153699800E+007                  1.4562145886225405E+009                  2.5214520288821020E+009                  1.0000000000000000E+000                  5.0045454075092539E+013                  3.2217365987793219E+018                  1.1445755299931197E+009                  1.2757315685363711E+008                  6.8858234771763792E+026 
