                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            log_star_age                               luminosity                                star_mass                                   radius                               surface_h1                              surface_he4                            total_mass_h1                           total_mass_he4                       mass_semiconv_core                             he_core_mass                           he_core_radius                              c_core_mass                           center_entropy                        luminosity_ergs_s                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time_Step_dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                  xa(8,1)                      Temperature_of_base                         Pressure_of_Base                            photosphere_r                             tau10_radius                            tau100_radius                                 tau_base                                 r_10_bar                                r_100_bar                               r_1000_bar                            homopause_rad                                      f_r                             scale_height                                   R_kbar                                R_transit                                   Region                                      q_c                                    q_net                                escape_el                               right_side                            envelope_mass 
                 1.1760912590556820E+000                  2.8827484858500747E-008                  1.7316961592600039E-005                  2.3093863524166477E-002                  7.4000000000000066E-001                  2.3998000081629320E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7316951958515351E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3583046838267610E+000                  1.1074943132938816E+026                  1.6072867135549390E+009                  4.7304000000000107E+008                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  4.7337224976000100E+008                  0.0000000000000000E+000                  1.3202484223753288E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7916440116681852E+003                  3.7493269652294464E+010                  1.6072867135549386E+009                  0.0000000000000000E+000                  1.5895245268697193E+009                  6.6666666666666663E-001                  1.5633729218524990E+009                  1.4884046615737326E+009                  1.3619658464385297E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3331698426695652E+007                  1.3626662144464946E+009                  2.1159739902835670E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 1.7208027575533018E+000                  4.0717801631599825E-008                  1.7316961592600039E-005                  2.3295280414603332E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7314689316430186E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3582992770317661E+000                  1.5642965030828020E+026                  1.6213049262955630E+009                  1.6580948274462612E+009                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  2.6186454451529196E+008                  0.0000000000000000E+000                  1.4330599936046215E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7916571759099634E+003                  3.7494327846177551E+010                  1.6213049262955627E+009                  0.0000000000000000E+000                  1.5992447994836996E+009                  6.6666666666666663E-001                  1.5770665027533553E+009                  1.4882347028992145E+009                  1.3619316685315320E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8902448354604334E+007                  1.3625913036128194E+009                  2.1945824265832748E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 2.0950854695691055E+000                  4.3424620429198779E-008                  1.7316961592600039E-005                  2.3455548231854095E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7314631776301495E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3582919031950320E+000                  1.6682870676489585E+026                  1.6324592458405814E+009                  3.9254737406530633E+009                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  6.3224833498943353E+008                  0.0000000000000000E+000                  1.4513209901823925E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7916147996828549E+003                  3.7493165831379822E+010                  1.6324592458405812E+009                  0.0000000000000000E+000                  1.6095232670868499E+009                  6.6666666666666663E-001                  1.5878244677630577E+009                  1.4884399595909867E+009                  1.3619694340163221E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0476454818147853E+007                  1.3626760019555438E+009                  2.2169035660426993E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 2.4819890513290761E+000                  4.5161501298883219E-008                  1.7316961592600039E-005                  2.3609456308322178E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7314550199277584E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3582737850319386E+000                  1.7350145569004954E+026                  1.6431709401466072E+009                  9.5674380379638081E+009                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  1.5732361769209070E+009                  0.0000000000000000E+000                  1.4608356624398605E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7915336795937310E+003                  3.7491303992422531E+010                  1.6431709401466069E+009                  0.0000000000000000E+000                  1.6196528420374594E+009                  6.6666666666666663E-001                  1.5960321846662011E+009                  1.4872659135602329E+009                  1.3620300583848157E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1674197367507435E+007                  1.3628130791208258E+009                  2.2339649137216158E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 2.8742240864499444E+000                  4.6341579957399964E-008                  1.7316961592600039E-005                  2.3748628999972893E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7314423472705792E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3582293836278012E+000                  1.7803508188033917E+026                  1.6528570811401138E+009                  2.3606450638248081E+010                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  3.9147150437558298E+009                  0.0000000000000000E+000                  1.4659720844711262E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7913840848994732E+003                  3.7488865946765411E+010                  1.6528570811401134E+009                  0.0000000000000000E+000                  1.6289182202201416E+009                  6.6666666666666663E-001                  1.6055807167842414E+009                  1.4877920031691229E+009                  1.3621097682861729E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2622653568963312E+007                  1.3629968943253889E+009                  2.2475541770874729E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 3.2686461591750700E+000                  4.7148138794097336E-008                  1.7316961592600039E-005                  2.3866394490133051E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7313911939541292E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3581238704044329E+000                  1.8113371961916313E+026                  1.6610533237242806E+009                  5.8540006471787430E+010                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  9.7410637376785049E+009                  0.0000000000000000E+000                  1.4686726037090277E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7910998287067896E+003                  3.7486147987747490E+010                  1.6610533237242801E+009                  0.0000000000000000E+000                  1.6368028653500667E+009                  6.6666666666666663E-001                  1.6137027449203935E+009                  1.4894979191094394E+009                  1.3621994150389800E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3361578559692435E+007                  1.3632132008461275E+009                  2.2582179988850660E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 3.6639545081256966E+000                  4.7690544949285111E-008                  1.7316961592600039E-005                  2.3957607192072489E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7312560909950559E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3578828124837594E+000                  1.8321753558616352E+026                  1.6674015453538611E+009                  1.4546587212350009E+011                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  2.4238883719740173E+010                  0.0000000000000000E+000                  1.4700720280661262E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7905411972633674E+003                  3.7483857638697975E+010                  1.6674015453538611E+009                  0.0000000000000000E+000                  1.6429276934224639E+009                  6.6666666666666663E-001                  1.6182174621212370E+009                  1.4924815184945295E+009                  1.3622769189226384E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3907499648906812E+007                  1.3634258326860352E+009                  2.2661519273903608E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 4.0596202312349670E+000                  4.8027028269623808E-008                  1.7316961592600039E-005                  2.4018160201592021E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7311124830406270E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3573543644934443E+000                  1.8451023720624073E+026                  1.6716159137104020E+009                  3.6176524214196960E+011                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  6.0314099137503845E+010                  0.0000000000000000E+000                  1.4708006831704172E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7894242534474033E+003                  3.7483483310891090E+010                  1.6716159137104015E+009                  0.0000000000000000E+000                  1.6469990811482038E+009                  6.6666666666666663E-001                  1.6224092907523775E+009                  1.4923018466364024E+009                  1.3622956140720923E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4262695933197781E+007                  1.3635572237110674E+009                  2.2713068400546532E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 4.4554297695210989E+000                  4.8186955897188364E-008                  1.7316961592600039E-005                  2.4045820464119849E-002                  7.4000000000000066E-001                  2.3998000081629317E-001                  1.2814551578523763E-007                  4.1557244571277776E-008                  1.7309557260252276E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3561917241710395E+000                  1.8512464716581825E+026                  1.6735410126618135E+009                  8.9998729054632727E+011                  3.4446899999999994E+028                  2.5490705999999465E+026                  8.2665670901185908E+025                  1.5008077916583353E+011                  0.0000000000000000E+000                  1.4711766916772365E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  4.7870869054168979E+003                  3.7487831584674667E+010                  1.6735410126618133E+009                  0.0000000000000000E+000                  1.6488583381871431E+009                  6.6666666666666663E-001                  1.6243251313400052E+009                  1.4935975417921894E+009                  1.3621681558192074E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4427215890574113E+007                  1.3634726458152924E+009                  2.2735422101182489E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
